record_id,campaign_date,campaign_id,campaign_name,channel,campaign_type,region,audience_segment,device,impressions,clicks,conversions,spend_usd,revenue_usd
REC-002567,2025-08-17,CAMP-007,B2B Decision Makers,LinkedIn Ads,Lead Generation,North America,New Customers,Mobile,2640,51,3,321.39,307.07
REC-004594,2026-02-04,CAMP-017,Product Demo Views,YouTube Ads,Product Education,MENA,Returning Customers,Desktop,15045,154,5,109.87,566.3
REC-005468,2026-04-24,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,MENA,New Customers,Mobile,15989,271,5,196.6,294.75
REC-003428,2025-10-30,CAMP-015,Monthly Product Digest,Email,Customer Nurture,Latin America,Returning Customers,Mobile,12172,807,89,136.88,8888.89
REC-003496,2025-11-05,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,Latin America,Enterprise Decision Makers,Tablet,9096,124,3,124.56,774.47
REC-000594,2025-02-20,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,Latin America,Students & Young Professionals,Desktop,29421,393,7,250.54,428.3
REC-001596,2025-05-19,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,North America,Returning Customers,Mobile,21877,213,5,139.38,529.91
REC-002841,2025-09-10,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,Asia-Pacific,Enterprise Decision Makers,Desktop,41209,355,10,158.45,3275.06
REC-005301,2026-04-10,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,North America,New Customers,Mobile,21454,279,5,263.91,365.73
REC-005179,2026-03-30,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,Europe,Returning Customers,Mobile,35255,147,1,103.44,63.01
REC-004375,2026-01-16,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,North America,New Customers,Desktop,12788,488,29,809.99,3142.0
REC-004929,2026-03-06,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Europe,Enterprise Decision Makers,Desktop,13770,402,38,404.28,9086.03
REC-003727,2025-11-23,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,Europe,New Customers,Mobile,25338,126,2,97.46,124.76
REC-000513,2025-02-13,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,Latin America,New Customers,Desktop,32054,996,28,854.96,2294.14
REC-002965,2025-09-20,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,MENA,Small Business Owners,Mobile,13123,494,12,420.78,1774.05
REC-005688,2026-05-14,CAMP-023,Enterprise Pipeline Builder,LinkedIn Ads,Lead Generation,Latin America,Students & Young Professionals,Mobile,1402,26,1,130.8,113.72
REC-000033,2025-01-03,CAMP-015,Monthly Product Digest,Email,Customer Nurture,MENA,Returning Customers,Mobile,5582,272,25,66.02,3095.31
REC-004570,2026-02-02,CAMP-010,Short Video Discovery,TIKTOK ADS,Prospecting,Europe,Returning Customers,Mobile,25166,332,12,302.03,1448.98
REC-004677,2026-02-12,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,North America,Returning Customers,Mobile,24737,451,9,384.08,897.28
REC-001151,2025-04-10,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,North America ,Students & Young Professionals,Mobile,48176,382,3,220.42,273.56
REC-003078,2025-09-30,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,MENA,New Customers,Mobile,13738,253,7,206.54,731.63
REC-004166,2025-12-29,CAMP-006,Seasonal Offer Push,Meta Ads,Seasonal Promotion,Asia-Pacific,Small Business Owners,Mobile,19180,370,17,339.8,2588.04
REC-002794,2025-09-06,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,North America,Small Business Owners,Desktop,21240,460,18,521.45,2234.14
REC-000411,2025-02-05,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,North America,Returning Customers,Mobile,19043,1013,103,2201.29,17901.66
REC-003471,2025-11-03,CAMP-015,Monthly Product Digest,Email,Customer Nurture,MENA,New Customers,Desktop,13576,763,58,148.25,6260.89
REC-000192,2025-01-17,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,MENA,Small Business Owners,Tablet,16914,471,21,765.76,1758.57
REC-004989,2026-03-12,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,North America,New Customers,Desktop,15008,191,4,178.33,310.22
REC-004308,2026-01-11,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,MENA,Students & Young Professionals,Desktop,13947,535,28,670.03,1170.42
REC-002324,2025-07-27,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,Europe,Enterprise Decision Makers,Desktop,22597,386,17,357.96,4789.52
REC-004187,2025-12-31,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,North America,Enterprise Decision Makers,Mobile,57649,1569,61,1525.2,14373.76
REC-005866,2026-05-28,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Asia-Pacific,Enterprise Decision Makers,Mobile,24589,772,45,664.5,11162.01
REC-002812,2025-09-07,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,Europe,Returning Customers,Desktop,12016,566,46,1096.12,6595.24
REC-004937,2026-03-07,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,MENA,Enterprise Decision Makers,Mobile,44839,1826,81,1077.96,19447.83
REC-005795,2026-05-23,CAMP-011,Creator Product Launch,TikTok Ads,Product Launch,North America,New Customers,Mobile,6380,102,1,106.85,95.01
REC-003575,2025-11-11,CAMP-022,Holiday Revenue Boost,Meta Ads,Seasonal Promotion,Asia-Pacific,Students & Young Professionals,Mobile,25683,625,18,586.54,1139.95
REC-001402,2025-05-01,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,Europe,New Customers,Mobile,33393,296,3,163.49,355.72
REC-004636,2026-02-08,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,Asia-Pacific,Students & Young Professionals,Mobile,27580,537,8,438.4,476.19
REC-003392,2025-10-27,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,Europe,Small Business Owners,Mobile,20864,320,7,216.43,935.89
REC-002698,2025-08-28,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,Europe,New Customers,Mobile,20541,208,2,185.11,147.31
REC-006117,2026-06-20,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,Asia-Pacific,Small Business Owners,Desktop,8558,457,63,821.88,12842.38
REC-004812,2026-02-23,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Europe,Returning Customers,Mobile,11115,451,35,522.07,3821.64
REC-001862,2025-06-13,CAMP-023,Enterprise Pipeline Builder,LinkedIn Ads,Lead Generation,MENA,Students & Young Professionals,Mobile,2279,40,1,180.87,126.37
REC-000511,2025-02-13,CAMP-002,Brand Demand Capture,Google Ads,Brand Awareness,North America,Returning Customers,Desktop,6106,207,16,471.19,1611.42
REC-006107,2026-06-19,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,Europe,Returning Customers,Mobile,23882,729,35,682.83,3572.24
REC-004730,2026-02-16,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,Europe,Students & Young Professionals,Mobile,29791,332,4,333.75,167.62
REC-006012,2026-06-10,CAMP-014,Win Back Customers,Email,Reactivation,Latin America,New Customers,Mobile,6438,433,46,80.44,4535.04
REC-002720,2025-08-30,CAMP-002,Brand Demand Capture,Google Ads,Brand Awareness,Europe,Students & Young Professionals,Mobile,13260,579,11,943.16,512.75
REC-002328,2025-07-27,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,North America,New Customers,Desktop,2288,33,3,202.52,324.81
REC-002101,2025-07-07,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,North America,Returning Customers,Desktop,11575,29,0,31.47,0.0
REC-000232,2025-01-21,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,Asia-Pacific,Enterprise Decision Makers,Mobile,6407,73,3,400.71,344.81
REC-003755,2025-11-25,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,North America,Returning Customers,Desktop,8304,157,9,191.94,925.54
REC-002399,2025-08-03,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,Asia-Pacific,Enterprise Decision Makers,Tablet,13691,597,31,838.94,7555.2
REC-002474,2025-08-09,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,MENA,,Mobile,24745,211,3,140.15,245.24
REC-005598,2026-05-06,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,MENA,Students & Young Professionals,Desktop,38332,1117,35,788.32,2639.83
REC-002832,2025-09-09,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,Latin America,New Customers,Mobile,5672,68,1,279.25,51.12
REC-002400,2025-08-03,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,Europe,Returning Customers,Mobile,3795,189,18,394.54,2198.16
REC-002827,2025-09-09,CAMP-006,Seasonal Offer Push,Meta Ads,Seasonal Promotion,North America,Returning Customers,Mobile,7532,148,4,181.98,455.01
REC-006185,2026-06-27,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,Asia-Pacific,Returning Customers,Desktop,38418,1098,55,1240.23,5765.21
REC-003559,2025-11-10,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,Europe,New Customers,Mobile,24013,1013,26,865.12,2121.4
REC-002612,2025-08-21,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,MENA,New Customers,Mobile,5284,70,2,382.63,82.55
REC-003602,2025-11-13,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,Asia-Pacific,New Customers,Desktop,15281,200,6,138.82,335.26
REC-001739,2025-06-02,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,Asia-Pacific,Enterprise Decision Makers,Mobile,8367,85,4,421.97,595.54
REC-002228,2025-07-19,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,Asia-Pacific,New Customers,Desktop,7583,80,4,73.54,290.27
REC-005806,2026-05-23,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,MENA,,Mobile,13831,466,29,720.09,2280.8
REC-000571,2025-02-19,CAMP-015,Monthly Product Digest,Email,Customer Nurture,Latin America,New Customers,Mobile,7190,514,26,86.01,2760.37
REC-003221,2025-10-13,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,North America,Enterprise Decision Makers,Desktop,5698,172,20,401.99,6371.52
REC-004298,2026-01-10,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,MENA,Returning Customers,Mobile,5247,227,16,190.58,2194.82
REC-000952,2025-03-24,CAMP-006,Seasonal Offer Push,Meta Ads,Seasonal Promotion,North America,Small Business Owners,Mobile,21525,571,23,747.16,3298.64
REC-001707,2025-05-29,CAMP-002,Brand Demand Capture,Google Ads,Brand Awareness,Europe,Enterprise Decision Makers,Desktop,3339,124,4,245.57,680.58
REC-004349,2026-01-15,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,Asia-Pacific,Small Business Owners,Desktop,7503,180,6,181.15,806.62
REC-003843,2025-12-03,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,MENA,Students & Young Professionals,Desktop,66677,1562,34,2056.72,2147.01
REC-003754,2025-11-25,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,Asia-Pacific,Returning Customers,Mobile,25077,881,28,522.74,4023.65
REC-004757,2026-02-19,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,North America,Students & Young Professionals,Desktop,5718,162,5,328.75,200.71
REC-002167,2025-07-13,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,Europe,New Customers,Mobile,3262,39,0,253.04,0.0
REC-001823,2025-06-10,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Europe,Students & Young Professionals,Mobile,20853,587,24,617.74,1557.49
REC-002210,2025-07-17,CAMP-007,B2B Decision Makers,LinkedIn Ads,Lead Generation,MENA,Returning Customers,Desktop,7025,96,12,457.17,1940.48
REC-004232,2026-01-04,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,North America,New Customers,Mobile,15324,528,16,417.04,1435.68
REC-002561,2025-08-16,CAMP-002,Brand Demand Capture,Google Ads,Brand Awareness,Europe,Small Business Owners,Mobile,7740,243,10,500.75,958.72
REC-004025,2025-12-18,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,Europe,New Customers,Mobile,43164,135,0,115.76,0.0
REC-001485,2025-05-09,CAMP-015,Monthly Product Digest,Email,Customer Nurture,MENA,New Customers,Mobile,13826,592,42,134.97,4480.37
REC-003546,2025-11-09,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,Asia-Pacific,Students & Young Professionals,Mobile,32209,550,7,325.64,586.41
REC-005004,2026-03-13,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,Asia-Pacific,Students & Young Professionals,Desktop,1563,12,1,106.59,31.58
REC-002015,2025-06-28,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,Asia-Pacific,Enterprise Decision Makers,Mobile,27047,201,2,123.64,433.17
REC-000007,2025-01-01,CAMP-014,Win Back Customers,Email,Reactivation,Europe,New Customers,Mobile,14417,1449,150,167.67,19700.16
REC-002333,2025-07-28,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Europe,New Customers,Mobile,10847,350,14,382.28,1138.62
REC-001359,2025-04-28,CAMP-014,Win Back Customers,Email,Reactivation,Asia-Pacific,Enterprise Decision Makers,Mobile,15053,1267,204,168.17,76994.19
REC-005886,2026-05-30,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,Asia-Pacific,New Customers,Desktop,5158,198,10,278.54,477.74
REC-001769,2025-06-04,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,MENA,Returning Customers,Desktop,11314,78,2,42.06,283.37
REC-005838,2026-05-26,CAMP-015,Monthly Product Digest,Email,Customer Nurture,Asia-Pacific,New Customers,Mobile,5696,268,18,79.85,1711.76
REC-000036,2025-01-03,CAMP-013,Lifecycle Nurture,Email,Customer Nurture,North America,Small Business Owners,Mobile,9054,472,56,98.8,6941.43
REC-003889,2025-12-07,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,North America,Small Business Owners,Desktop,31104,252,4,229.18,502.32
REC-001621,2025-05-22,CAMP-023,Enterprise Pipeline Builder,LinkedIn Ads,Lead Generation,Asia-Pacific,Students & Young Professionals,Mobile,7208,90,6,409.25,733.54
REC-002545,2025-08-15,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,Europe,New Customers,Desktop,29958,859,29,592.07,2379.66
REC-001967,2025-06-24,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,Asia-Pacific,Enterprise Decision Makers,Desktop,33238,330,8,311.95,1758.7
REC-004182,2025-12-30,CAMP-007,B2B Decision Makers,LinkedIn Ads,Lead Generation,Asia-Pacific,Enterprise Decision Makers,Mobile,5669,107,8,530.83,3012.06
REC-001210,2025-04-16,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,North America,Returning Customers,Tablet,25827,658,36,875.7,3836.38
REC-005642,2026-05-10,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,Europe,Returning Customers,Mobile,4228,75,6,420.21,939.37
REC-001031,2025-04-01,CAMP-013,Lifecycle Nurture,Email,Customer Nurture,Asia-Pacific,Returning Customers,Desktop,9422,415,71,98.3,8991.17
REC-002001,2025-06-26,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,Asia-Pacific,New Customers,Desktop,8913,83,2,114.79,160.41
REC-000159,2025-01-14,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,North America,New Customers,Mobile,15296,266,3,259.96,283.56
REC-000337,2025-01-30,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,Asia-Pacific,Small Business Owners,Mobile,13395,112,1,109.44,126.56
REC-001672,2025-05-26,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,North America,New Customers,Desktop,5995,64,4,433.37,169.06
REC-004808,2026-02-23,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,MENA,Enterprise Decision Makers,Mobile,6835,122,3,97.77,850.58
REC-001608,2025-05-21,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,MENA,New Customers,Desktop,30918,335,7,262.93,778.82
REC-004079,2025-12-22,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,North America,New Customers,Desktop,15095,853,60,1399.54,7305.0
REC-002821,2025-09-08,CAMP-002,Brand Demand Capture,Google Ads,Brand Awareness,North America,New Customers,Mobile,17158,521,14,913.35,976.98
REC-005126,2026-03-25,CAMP-017,Product Demo Views,YouTube Ads,Product Education,MENA,Small Business Owners,Mobile,14899,199,4,166.17,494.64
REC-001814,2025-06-09,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,Latin America,New Customers,Mobile,14798,1166,77,1659.47,10430.18
REC-005818,2026-05-25,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,North America,Enterprise Decision Makers,Mobile,13006,652,34,1288.23,8594.78
REC-005799,2026-05-23,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,Asia-Pacific,New Customers,Desktop,18660,691,45,1155.73,3797.39
REC-003552,2025-11-09,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,MENA,Returning Customers,Mobile,21090,443,22,343.25,2178.48
REC-002921,2025-09-16,CAMP-007,B2B Decision Makers,LinkedIn Ads,Lead Generation,North America,Small Business Owners,Mobile,7462,106,6,675.84,1269.35
REC-002928,2025-09-17,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Europe,Returning Customers,Mobile,8921,335,27,290.05,3572.64
REC-005378,2026-04-16,CAMP-017,Product Demo Views,YouTube Ads,Product Education,MENA,Small Business Owners,Desktop,19231,213,5,180.47,747.12
REC-003152,2025-10-07,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,Asia-Pacific,New Customers,Desktop,9021,164,5,148.77,540.04
REC-000926,2025-03-22,CAMP-006,Seasonal Offer Push,Meta Ads,Seasonal Promotion,North America,Returning Customers,Mobile,9997,246,15,337.82,1895.65
REC-002170,2025-07-13,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,MENA,Small Business Owners,Mobile,29262,225,3,114.35,465.72
REC-001820,2025-06-10,CAMP-014,Win Back Customers,Email,Reactivation,MENA,Returning Customers,Desktop,7952,387,80,97.51,11706.23
REC-006207,2026-06-28,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,Europe,New Customers,Mobile,2602,120,8,204.17,949.85
REC-005798,2026-05-23,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,MENA,Returning Customers,Mobile,7168,298,18,300.19,2480.16
REC-005670,2026-05-12,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,Europe,Returning Customers,Desktop,17314,157,4,88.41,603.37
REC-000644,2025-02-25,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,Asia-Pacific,New Customers,Mobile,53283,1672,62,1017.66,7112.07
REC-004203,2026-01-01,CAMP-014,Win Back Customers,Email,Reactivation,North America,Students & Young Professionals,Desktop,9851,578,67,111.8,5320.03
REC-005276,2026-04-07,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,North America,Returning Customers,Mobile,11173,150,4,151.75,502.56
REC-003661,2025-11-18,CAMP-004,Social Scale Prospecting,Meta Ads,Prospecting,Europe,Returning Customers,Mobile,13539,228,9,280.81,1069.41
REC-005419,2026-04-20,CAMP-015,Monthly Product Digest,Email,Customer Nurture,Europe,Returning Customers,Desktop,10655,559,62,109.31,6375.09
REC-005282,2026-04-08,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,MENA,Enterprise Decision Makers,Mobile,31574,474,12,316.63,1940.68
REC-004055,2025-12-20,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,North America,Returning Customers,Mobile,39105,142,0,145.65,0.0
REC-001916,2025-06-19,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Europe,Small Business Owners,Mobile,14846,357,20,439.44,3107.44
REC-005720,2026-05-16,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,MENA,Small Business Owners,Mobile,29979,217,2,110.74,254.1
REC-003682,2025-11-20,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,MENA,Returning Customers,Mobile,41535,195,0,98.66,0.0
REC-002909,2025-09-16,CAMP-024,Mobile App Acquisition,Google Ads,App Acquisition,Europe,Returning Customers,Desktop,12161,307,19,594.07,1252.48
REC-004985,2026-03-11,CAMP-013,Lifecycle Nurture,Email,Customer Nurture,North America,Enterprise Decision Makers,Mobile,16609,1018,99,180.39,24253.65
REC-000356,2025-02-01,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,Latin America,Enterprise Decision Makers,Mobile,32069,361,9,249.92,1732.85
REC-001362,2025-04-28,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,MENA,Small Business Owners,Mobile,2496,41,3,198.0,441.49
REC-003138,2025-10-05,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Europe,Enterprise Decision Makers,Mobile,18577,623,43,568.85,12351.76
REC-004662,2026-02-11,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,Europe,Students & Young Professionals,Mobile,22280,104,0,98.62,0.0
REC-001951,2025-06-22,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,Europe,Enterprise Decision Makers,Desktop,6434,420,54,770.77,21669.25
REC-000229,2025-01-21,CAMP-017,Product Demo Views,YouTube Ads,Product Education,Europe,New Customers,Desktop,15309,146,4,153.62,442.73
REC-004034,2025-12-18,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,Asia-Pacific,Returning Customers,Mobile,24055,181,1,158.81,81.56
REC-000152,2025-01-13,CAMP-015,Monthly Product Digest,Email,Customer Nurture,Europe,Enterprise Decision Makers,Desktop,5055,231,33,65.89,9015.79
REC-000037,2025-01-03,CAMP-013,Lifecycle Nurture,Email,Customer Nurture,Asia-Pacific,New Customers,Mobile,7438,535,54,84.51,5425.95
REC-000261,2025-01-24,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,Latin America,Returning Customers,Mobile,6601,389,18,470.24,2540.07
REC-005103,2026-03-22,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,Europe,Enterprise Decision Makers,Mobile,15176,600,22,334.8,6155.5
REC-004029,2025-12-18,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,MENA,New Customers,Mobile,13770,233,5,191.63,411.69
REC-004932,2026-03-07,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,Asia-Pacific,Returning Customers,Mobile,18325,141,2,130.61,160.83
REC-001306,2025-04-24,CAMP-015,Monthly Product Digest,Email,Customer Nurture,North America,Students & Young Professionals,Mobile,6379,360,17,72.7,1335.23
REC-002672,2025-08-26,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,MENA,Students & Young Professionals,Desktop,14005,97,2,63.11,173.62
REC-004690,2026-02-13,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,North America,Enterprise Decision Makers,Desktop,21096,368,7,343.89,1826.23
REC-002031,2025-06-30,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,Latin America,Enterprise Decision Makers,Mobile,4364,43,3,203.93,350.77
REC-000263,2025-01-24,CAMP-023,Enterprise Pipeline Builder,LinkedIn Ads,Lead Generation,Europe,Students & Young Professionals,Mobile,7409,122,6,603.81,578.82
REC-002607,2025-08-20,CAMP-018,Programmatic Market Reach,Display Ads,Brand Awareness,Latin America,Students & Young Professionals,Mobile,35557,109,0,76.75,0.0
REC-004598,2026-02-05,CAMP-020,Creator Partnership Series,Influencer,Influencer Partnership,MENA,Returning Customers,Desktop,25376,564,28,701.48,3600.77
REC-001454,2025-05-06,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,North America,Students & Young Professionals,Desktop,5684,77,6,511.53,573.17
REC-006100,2026-06-18,CAMP-016,Video Reach Accelerator,YouTube Ads,Brand Awareness,Asia-Pacific,New Customers,Mobile,30790,286,2,206.91,178.23
REC-003817,2025-11-30,CAMP-023,Enterprise Pipeline Builder,LinkedIn Ads,Lead Generation,North America,Small Business Owners,Desktop,2379,43,5,261.64,1299.28
REC-005048,2026-03-17,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,Asia-Pacific,New Customers,Tablet,4676,45,1,259.01,98.72
REC-004992,2026-03-12,CAMP-010,Short Video Discovery,TikTok Ads,Prospecting,Asia-Pacific,Small Business Owners,Desktop,27708,438,11,349.9,1253.94
REC-001068,2025-04-03,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,North America,Returning Customers,Desktop,21210,814,101,1455.26,17226.28
REC-000480,2025-02-11,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,Asia-Pacific,Small Business Owners,Mobile,15654,708,57,1264.51,9478.65
REC-001328,2025-04-25,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,Asia-Pacific,Small Business Owners,Desktop,34345,399,12,316.66,1124.93
REC-005983,2026-06-08,CAMP-015,Monthly Product Digest,Email,Customer Nurture,North America,New Customers,Mobile,7321,334,19,83.56,1787.12
REC-004070,2025-12-22,CAMP-023,Enterprise Pipeline Builder,LinkedIn Ads,Lead Generation,MENA,Returning Customers,Desktop,9361,161,28,753.71,5262.85
REC-002458,2025-08-08,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,Asia-Pacific,Small Business Owners,Mobile,4743,214,19,418.72,2915.78
REC-003788,2025-11-28,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Latin America,Small Business Owners,Mobile,18576,650,27,488.56,3463.43
REC-002026,2025-06-29,CAMP-014,Win Back Customers,Email,Reactivation,North America,Small Business Owners,Mobile,3834,211,24,56.93,4070.5
REC-004357,2026-01-15,CAMP-021,Micro Creator Conversion,Influencer,Influencer Partnership,MENA,Returning Customers,Mobile,14364,539,23,465.44,2823.77
REC-003071,2025-09-29,CAMP-007,B2B Decision Makers,LinkedIn Ads,Lead Generation,MENA,Small Business Owners,Mobile,3339,52,3,222.69,601.7
REC-000188,2025-01-17,CAMP-003,High Intent Retargeting,Google Ads,Retargeting,Asia-Pacific,Students & Young Professionals,Tablet,6380,402,21,605.19,1922.78
REC-002881,2025-09-13,CAMP-014,Win Back Customers,Email,Reactivation,North America,Students & Young Professionals,Tablet,14868,980,64,161.52,5888.88
REC-004354,2026-01-15,CAMP-014,Win Back Customers,Email,Reactivation,North America,Returning Customers,Mobile,2221,182,33,31.9,4104.55
REC-005663,2026-05-12,CAMP-008,Executive Thought Leadership,LinkedIn Ads,Brand Awareness,MENA,Enterprise Decision Makers,Mobile,1292,13,0,113.78,0.0
REC-004054,2025-12-20,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,Europe,Students & Young Professionals,Mobile,17670,154,2,110.52,141.1
REC-000545,2025-02-16,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,Europe,Students & Young Professionals,Tablet,12359,356,8,554.4,502.42
REC-000053,2025-01-05,CAMP-012,Youth Engagement Sprint,TikTok Ads,Engagement,Europe,Small Business Owners,Desktop,19644,202,4,181.34,388.75
REC-003601,2025-11-13,CAMP-001,Search Growth Engine,Google Ads,Always-on Acquisition,North America,New Customers,Mobile,17389,793,32,1281.2,3177.91
REC-001941,2025-06-21,CAMP-009,Startup Founder Leads,LinkedIn Ads,Lead Generation,Europe,Small Business Owners,Desktop,6983,75,8,339.18,1697.93
REC-001489,2025-05-09,CAMP-019,Display Retargeting Loop,Display Ads,Retargeting,North America,New Customers,Mobile,38040,377,5,250.93,611.04
REC-002934,2025-09-18,CAMP-005,Cart Recovery Social,Meta Ads,Retargeting,Europe,New Customers,Desktop,22114,779,57,839.88,5561.33
